ID	カテゴリ	質問	回答方針	保留時の対応	関連論点	関連 docs	出典	状態	更新日
QA-35	infra	CPU/メモリ/ディスク/DBクエリ/外部API/URL到達性の監視はどこを見ればよいか？	通常確認はexports/infra_monitoring_dashboard.mdを開き、機械処理やCIではexports/infra_monitoring_dashboard.jsonを参照する。生成元はscripts/generate_infra_monitoring_dashboard.pyで、uptime、Supabase performance dry-run、log rotation、external API usage、任意のSupabase Metrics APIを横断集計する。	SUPABASE_METRICS_URL/SUPABASE_METRICS_BEARER_TOKEN未設定時はSupabase Metrics APIのみwarning扱い。本番値を接続後、workflow_dispatchでInfra Telemetry Dashboardを再実行する。	R63;T755	docs/INFRA_TELEMETRY_DASHBOARD_RUNBOOK.md;exports/infra_monitoring_dashboard.md	T755 2026-06-14	回答済	2026-06-14
QA-36	cost	週次のコスト配賦とアラートはどこで確認し、実請求が未接続の項目はどう扱うか？	通常確認はexports/weekly_cost_dashboard.md、機械処理はexports/weekly_cost_dashboard.jsonを見る。通知文面はexports/weekly_cost_alert_email.mdとexports/weekly_cost_slack_payload.jsonに生成される。実請求の正本はGoogle Cloud Billing export、Firebase budget、Supabase billing/dashboard、Stripe Dashboard、GitHub Actions usage、BytePlus/Google AI usageであり、未接続のコストセンターはunknownとして表示する。	data/cost_actuals.tsvに秘密値を含まない手動/自動exportを追加すると週次ダッシュボードへ実請求額が反映される。Slack/SMTPのsecretは環境変数だけで読み、成果物には保存しない。	R64;T757	docs/WEEKLY_COST_DASHBOARD_RUNBOOK.md;exports/weekly_cost_dashboard.md	T757 2026-06-14	回答済	2026-06-14
QA-37	infra	Firebase Functions から Supabase へ接続するとき、接続数の増加とsecret露出はどう防ぐか？	本番SUPABASE_DB_URLはSupavisor transaction pooler (pooler.supabase.com:6543) を使い、FastAPI側はpsycopg2 ThreadedConnectionPoolをmin=1/max=4で遅延初期化する。借用時にSELECT 1のpre-pingを行い、長時間生存poolはrecycleする。/api/db-testはpooler_modeやmax_connectionsなど非秘密の状態だけを返す。	接続失敗時はSQLite fallbackを継続するが、T761/T761_1でSupabase監視・アラートへ接続する。SUPABASE_DB_URLやpasswordはdocs、WBS、Sheets、Issueへ記録しない。	R65;T759	docs/SUPABASE_CONNECTION_POOLING_RUNBOOK.md;docs/FIREBASE_SUPABASE_SYSTEM_ARCHITECTURE.md	T759 2026-06-14	回答済	2026-06-14
QA-38	infra	販売URLとして mightylink-app.com を案内してよいか？	はい。2026-06-14にstrict HTTPSで接続でき、証明書SubjectがCN=mightylink-app.com、IssuerがGoogle Trust Servicesであることを確認した。docs/TOKUSHOHO_NOTATION.md の販売URLを https://mightylink-app.com/ で確定し、uptime監視もallow_tls_error=falseへ切り替えた。	GitHub Pages URLは引き続きCEO共有済み公開デモ/バックアップURLとして扱う。事業者情報・価格はR51/T804/T798が未確定のため、特商法ページ本文全体の公開判断はT777/T791で行う。	R66;T740_3	docs/PRODUCTION_DOMAIN_SETUP_GUIDE.md;docs/TOKUSHOHO_NOTATION.md;data/uptime_targets.tsv	T740_3 2026-06-14	回答済	2026-06-14
QA-39	infra	ローカル開発や統合テストは production Firebase / Supabase に接続せずに実行できますか？	はい。Firebase は Auth / Functions / Hosting Emulator、Supabase は Local CLI の API 54321・DB 54322・Studio 54323 を使用します。supabase/seed.sql は example.test の合成データのみで、scripts/verify_local_dev_stack.py --check-env が production SUPABASE_DB_URL の残存をcriticalとして検出します。	Docker/Firebase CLI/Supabase CLIが使えない環境では静的検証とpytestだけを先に通し、実DBや本番credentialで代替しない。必要な場合は一時的なstaging projectを別途作成する。	R67;T760;T788	docs/LOCAL_DEV_EMULATOR_STACK_RUNBOOK.md;docs/FIREBASE_SUPABASE_SYSTEM_ARCHITECTURE.md	T760 2026-06-15	回答済	2026-06-15
QA-40	infra	Supabaseのスロークエリやインデックス追加判断はどこで確認し、誰がどう承認しますか？	通常確認はexports/supabase_query_performance_review.mdを開き、Supabase DashboardのQuery Performance、Performance Advisor、Index AdvisorとT750診断レポートを照合する。index DDLはT761で直接適用せず、GitHub Issue、課題管理表、WBS、staging EXPLAIN、rollback noteが揃った別タスクとして承認する。	本番SUPABASE_DB_URLは環境変数だけで渡し、docs/Sheets/Issue/成果物へ保存しない。Dashboard確認やCLI実行が未完了の場合はreview statusをreadyのままにし、production DDLへ進めない。	R68;T761	docs/SUPABASE_QUERY_PERFORMANCE_DASHBOARD_RUNBOOK.md;exports/supabase_query_performance_review.md	T761 2026-06-15	回答済	2026-06-15
QA-41	infra	Firebase/Supabaseのクォータ超過・5xx・DB飽和はどこで検知し、誰へ通知しますか？	通常確認はexports/quota_error_alert_review.md、機械処理はexports/quota_error_alert_review.jsonを見る。Firebase/GCPはCloud Billing budget、Hosting/Functions quota、Cloud Logging logs-based metrics、Cloud Monitoring alert policy、Firebase Performance Monitoringを確認し、SupabaseはMetrics API、billing/usage dashboard、Query Performance reviewを確認する。criticalはSlack/Email/GitHub Issueで人間へ通知し、DR/Incident Runbookへ接続する。	SLACK_WEBHOOK_URL、SUPABASE_METRICS_BEARER_TOKEN、SUPABASE_DB_URL、Cloud Billing account IDはdocs/Sheets/Issue/exportsへ保存しない。budget alertは利用停止ではなく通知なので、費用急増時は人間が外部API/hosting/functions/DB利用を止める判断をする。	R69;T761_1	docs/FIREBASE_SUPABASE_QUOTA_ERROR_ALERT_RUNBOOK.md;exports/quota_error_alert_review.md	T761_1 2026-06-15	回答済	2026-06-15
QA-42	operations	診断結果の役立ち度やNPSはどこで確認し、個人情報を含めずに品質改善へ使えますか？	通常確認はBasic Auth付きの `GET /api/feedback/summary` を使います。Supabaseの `feedback_events` はRLS有効かつanon REST公開なしにして、送信はFastAPI経由へ限定します。コメントは1000文字上限で、集計APIは `comment_excerpt` のみ返すため、月次品質レポートではNPS平均・否定評価率・匿名コメント抜粋だけを扱います。個人情報や秘密情報をコメントに入れない運用はRunbookへ明記済みです。	保留なし	R70;T763	docs/USER_FEEDBACK_COLLECTION_RUNBOOK.md	T763 2026-06-16	回答済	2026-06-16
QA-43	operations	ユーザー問い合わせはどこで受け、どの基準で初動対応しますか？	アプリ下部の問い合わせフォームから `POST /api/support/request` に送信し、管理者はBasic Auth付きの `GET /api/support/summary` で新規件数・カテゴリ・優先度・抜粋を確認します。暫定メール窓口は `k-umezawa@ml-mightylink.com` です。技術不具合・個人情報・請求は当日一次確認、通常問い合わせは1営業日以内、重大障害や漏えい疑いはIncident Runbookへ接続します。	会社管理の共有メールボックス `support@ml-mightylink.com` は将来移行対象。現時点では個人情報をSheets/Issue/Slack/Notionへ全文転載しない運用で対応する	R71;T790	docs/SUPPORT_CONTACT_AND_ESCALATION_RUNBOOK.md;docs/USER_GUIDE_AND_FAQ.md	T790 2026-06-16	回答済	2026-06-16
QA-44	infra	2026-06-18以降、Gemini CLI / Gemini Code Assist 個人向け停止でGoogle系開発レーンやFirebase作業は止まりませんか？	止まりません。T803で実運用ファイル77件を監査し、Gemini CLI / Gemini Code Assist IDE extension / Firebase extension for Gemini CLIへの現役依存は0件でした。Google系のエージェント開発はT693で評価済みのAntigravity CLI / Antigravity IDEへ移行済みで、Gemini APIのモデル利用はCLI停止とは別系統として継続できます。	今後 `gemini extensions install https://github.com/firebase/agent-skills/` や `google.geminicodeassist` を実運用設定へ戻した場合は、`scripts/verify_gemini_cli_migration.py` がcriticalとして検出し、対応完了までリリース同期を止める。	R72;T803	docs/GEMINI_CLI_MIGRATION_AUDIT_2026-06-17.md;exports/gemini_cli_migration_audit.md	T803 2026-06-17	回答済	2026-06-17
QA-45	release	現時点でMighty-Linkを一般公開または有償ローンチしてよいですか？	いいえ。現時点では、社長説明・限定デモ・管理下確認に使う `controlled_demo` はGoですが、一般ユーザー向け公開やStripe課金を含む `public_paid_launch` はNo-Goです。法務承認、同意チェックUI、オンボーディング、法定4ページ、Stripe課金、負荷テストが完了してから再判定します。	No-Go理由は `docs/PRODUCTION_GO_NO_GO_CHECKLIST.md` と `exports/production_go_no_go_review.md`、Sheetsの `リリース判定` タブで確認する。BLOCKED/HUMAN_GATEが残る場合はCEOへ「限定デモ可、一般公開は未承認」と説明する。	R73;T746	docs/PRODUCTION_GO_NO_GO_CHECKLIST.md;exports/production_go_no_go_review.md	T746 2026-06-17	回答済	2026-06-17
QA-46	operations	AI生成の既存ホームページ修正ファイルは全置換する必要がありますか？	いいえ。今回の合意では、ポリシーリンク追加は既存ページ下部への部分修正で進めます。FTP/WordPressで作業する場合も、差分確認、バックアップ、反映後確認を行い、認証情報はGitHub/Sheets/Issueへ記録しません。	既存テーマやプラグイン差分が大きい場合は、先にステージングまたはバックアップ上で確認し、本番反映前に小林社長へ差分を共有する。	R74;T816	docs/meetings/2026-06-17_CEO_Meeting_Minutes.md	T816 2026-06-17	回答済	2026-06-17
QA-47	tech-ai	毎日約1,000通届く営業メールから案件マッチングを自動化できますか？	可能です。受信環境を確認したうえでMicrosoft Graph、Gmail API、IMAP、Webhook/メール転送、ファイル監視、手動アップロードなどから接続方式を選び、AIで必須/尚可スキル、単価、勤務地、リモート条件、稼働時期などを抽出し、Supabaseへ蓄積してエンジニア候補と照合します。	AIの抽出結果は人間レビューで修正できる前提にし、本文全文や個人情報を公開資料やNotebookLMへ転載しない。	R75;R86;T817;T817_1;T824	docs/SALES_EMAIL_AI_MATCHING_REQUIREMENTS.md;docs/SALES_EMAIL_AUTO_INGEST_CONNECTION_CHECKLIST.md;docs/meetings/2026-06-17_CEO_Meeting_Minutes.md	T824 2026-06-20	回答済	2026-06-20
QA-48	operations	個人アカウントで作成したGitHub/Firebase/Supabase環境は会社アカウントへ移行できますか？	移行可能です。T818でGitHub、Firebase/GCP、Supabase、Google Workspace、NotebookLM、AI開発ツール、Stripe、ドメインの現状棚卸し、移行順序、secret/OAuth、請求、権限、バックアップ、ロールバックを整理済みです。現状は一部を梅澤個人アカウントで構築していますが、将来的には会社所有、会社請求、会社管理の権限へ移します。移行費用が発生する場合は会社負担として進めます。	実移管はT823で実施する。移管前に会社GitHub Organization、会社GCP/Cloud Billing、会社Supabase Organization、会社契約ツールの管理者/請求先を確定し、secret実値はGitHub/Sheets/Issue/NotebookLMへ記録しない。	R76;T818;T823	docs/meetings/2026-06-17_CEO_Meeting_Minutes.md;docs/GOOGLE_WORKSPACE_MIGRATION_RUNBOOK.md;docs/ACCOUNT_OWNERSHIP_MIGRATION_RUNBOOK.md	T818 2026-06-19; Issue #112	回答済	2026-06-19
QA-49	release	6/17打ち合わせ後、一般公開・有償ローンチの判定は変わりましたか？	限定デモは引き続きGoですが、一般公開・有償ローンチはNo-Goです。営業メールAIマッチングはT817_6までで人間レビュー保存まで進みましたが、T817_7の実メール接続後の保持/削除、監査、負荷、権限確認を公開前ゲートとして残しています。	社長説明では「管理下デモ可、一般公開・有償化は未承認。営業メールAIマッチングMVPはレビュー保存まで完了、実メール運用hardeningが残り」と伝える。	R73;R75;T746;T817	docs/PRODUCTION_GO_NO_GO_CHECKLIST.md;docs/SALES_EMAIL_AI_MATCHING_REQUIREMENTS.md	T817_6 2026-06-19	回答済	2026-06-19
QA-50	operations	次回打ち合わせは2026年7月2日と7月3日のどちらですか？	文字起こしでは「2日の木曜日」を仮予定として合意しているため、正本では2026-07-02（木）仮とします。2026-07-03は金曜日であり、Geminiメモの「7月3日（木）」は日付と曜日が一致しないため採用しません。	カレンダー、WBS、次回資料では2026-07-02（木）仮を使う。参加者都合で変更があればT819を更新する。	R77;T819;T821	docs/meetings/2026-06-17_CEO_Meeting_Minutes.md	T821 2026-06-17	回答済	2026-06-17
QA-51	tech-ai	営業メールAIマッチングは経歴書から案件を探すだけですか？	いいえ。文字起こしでは、経歴書/エンジニア条件から共有営業アドレス内の案件を探す方向と、案件要件から候補人材を探す逆方向の両方が要望されています。T817_5では双方向候補リストと根拠表示を実装対象にします。	片方向だけでPoCを作る場合も、DBスキーマとUIは逆方向検索へ拡張できる前提にする。	R75;R77;T817;T817_5	docs/SALES_EMAIL_AI_MATCHING_REQUIREMENTS.md;docs/meetings/2026-06-17_CEO_Meeting_Minutes.md	T821 2026-06-17	回答済	2026-06-17
QA-52	tech-ai	実メール接続前に、営業メール取り込みと重複排除を安全に検証できますか？	できます。T817_2で.eml/.txt/CSVを読み込むローカルPoCを実装し、送信者、正規化件名、本文ハッシュで重複を検出します。出力は件数、ハッシュ、送信者ドメイン、redacted抜粋に限定し、本文全文や認証情報は保存しません。	本番接続では受信環境を先に確認し、Microsoft Graph、Gmail API、IMAP、Webhook等から方式を選んだうえで、最小権限、Secret管理、Supabase RLS、保持/削除、監査をT817_7で確認してから運用する。	R78;R86;T817_2;T824	docs/SALES_EMAIL_INGESTION_POC_RUNBOOK.md;docs/SALES_EMAIL_AUTO_INGEST_CONNECTION_CHECKLIST.md;src/sales_email_ingest.py	T824 2026-06-20	回答済	2026-06-20
QA-53	ui	モバイル表示時にホームページで main1.jpeg の 404 エラーが発生するのはなぜですか？	Vegasスライダーのモバイル（タブレットサイズ以下）用画像ソースのパス設定において、テーマのベースURL（baseURL）が記述されておらず、相対パス './image/top/...' で記述されていたためです。そのため、WordPressのサブディレクトリ配下や別エンドポイントからロードした際に、間違ったURLへリクエストが飛び、404エラーになっていました。	Vegasスライダーのモバイル用画像設定にも baseURL を付与し、テーマディレクトリの正しいURL（baseURL + '/image/top/...'）から常にロードされるように修正しました。FTP経由で second.js を本番サーバーへアップロードし、エラーが解消されたことを確認しています。	R79;T822	scratch/second.js	T822 2026-06-18	回答済	2026-06-18
QA-54	tech-ai	営業メールAIマッチング用のSupabase DBは安全に準備できていますか？	T817_3で、メール取り込み元、メールメタ情報、抽出エンティティ、案件要件、要員情報、スキルタグ、解析ログ、マッチ結果、レビュー結果を保存する9テーブルのmigrationを追加しました。全テーブルでRLSを有効化し、anon/authenticatedからの直接アクセスをREVOKEしています。	T817_4でAI抽出fallback、T817_5でsanitized reviewを使う双方向候補検索API/UI、T817_6でBasic Auth管理API経由の人間レビュー保存を実装済みです。本文全文やOAuth/secretは保存しません。実メール接続後の保持/削除、監査、負荷、権限確認はT817_7で進めるため、一般公開・有償ローンチはまだNo-Goです。	R80;R82;R83;T817_3;T817_4;T817_5;T817_6	docs/SALES_EMAIL_DATABASE_SCHEMA_RUNBOOK.md;docs/SALES_EMAIL_EXTRACTION_PIPELINE_RUNBOOK.md;docs/SALES_EMAIL_MATCHING_API_UI_RUNBOOK.md;docs/SALES_EMAIL_HUMAN_REVIEW_RUNBOOK.md;tests/test_sales_email_schema_migrations.py;tests/test_sales_email_review.py	T817_6 2026-06-19	回答済	2026-06-19
QA-55	tech-ai	営業メールから案件要件や要員スキルをAIで抽出する土台はできていますか？	はい。T817_4でdeterministic fallback付きの抽出パイプラインを追加し、案件要件、要員情報、必須/尚可スキル、単価、勤務地、リモート条件、稼働時期、商流、根拠抜粋、信頼度を構造化できるようにしました。	抽出結果はreview_status=pendingで、人間レビュー前に確定扱いしません。成果物には本文全文、個人メール、電話番号、secret-like値を出さず、要員は匿名キーで扱います。T817_5でAPI/UI候補表示、T817_6でレビュー保存まで進みました。	R81;R82;R83;T817_4;T817_5;T817_6	docs/SALES_EMAIL_EXTRACTION_PIPELINE_RUNBOOK.md;docs/SALES_EMAIL_MATCHING_API_UI_RUNBOOK.md;docs/SALES_EMAIL_HUMAN_REVIEW_RUNBOOK.md;src/sales_email_extract.py;src/sales_email_match.py;src/sales_email_review.py	T817_6 2026-06-19	回答済	2026-06-19
QA-56	tech-ai	営業メールAIマッチングで案件から候補人材を一覧できますか？	はい。T817_5で、T817_4のsanitized extraction reviewを入力に、案件→人材・人材→案件の双方向候補をスコア、スキル一致、条件一致、根拠、不足理由つきで返すAPI/CLI/UIを追加しました。T817_6で候補への採用/却下/要確認/補正レビューも保存できます。	候補は人間レビューで状態を残せますが、T817_7で実メール接続後の保持/監査/負荷/権限確認を完了するまで、一般公開・有償ローンチはNo-Goです。	R75;R82;R83;T817_5;T817_6	docs/SALES_EMAIL_MATCHING_API_UI_RUNBOOK.md;docs/SALES_EMAIL_HUMAN_REVIEW_RUNBOOK.md;exports/sales_email_match_review.md;exports/sales_email_review_log.md;tests/test_sales_email_match.py;tests/test_sales_email_review.py	T817_6 2026-06-19	回答済	2026-06-19
QA-57	tech-ai	営業メールAIマッチング候補の採用/却下/補正はどこに保存できますか？	T817_6で、Basic Auth付きの `POST /api/sales-email/reviews` と `GET /api/sales-email/reviews/summary` を追加しました。レビュー結果は `email_match_feedback`、`exports/sales_email_review_log.json`、`exports/sales_email_review_log.md` に保存されます。	レビューコメントはメールアドレス、電話番号、secret-like値をredactし、候補者は匿名キーで扱います。実メール接続後の保持/削除、監査、負荷、権限確認はT817_7で実施します。	R83;T817_6	docs/SALES_EMAIL_HUMAN_REVIEW_RUNBOOK.md;src/sales_email_review.py;tests/test_sales_email_review.py	T817_6 2026-06-19	回答済	2026-06-19
QA-58	release	v0.1.0-controlled-demo.1 は一般公開・有償ローンチですか？	いいえ。v0.1.0-controlled-demo.1 は管理下デモ用のプレリリースタグです。T746の判定では controlled_demo はGoですが、public_paid_launch はNo-Goのままです。一般公開やStripe課金を含む有償ローンチは、法務確認、価格承認、Stripe実装、オンボーディング、負荷テスト、T817_7本番hardening完了後に別タグで再判定します。	GitHub Releaseはprereleaseとして発行し、CHANGELOGとRelease本文に public_paid_launch=NO_GO を明記する。GAタグは承認ゲート通過まで発行しない。	R84;T806;T746	CHANGELOG.md;docs/RELEASE_VERSIONING_RUNBOOK.md;exports/release_versioning_review.md	T806 2026-06-19; Issue #113	回答済	2026-06-19
QA-59	privacy	サービス終了やデータ移行時に、自分の登録データを自分で取得できますか？	T781のPoCで `GET /api/user-data/export` と問い合わせ欄の「ユーザーデータ JSON」取得UIを追加しました。Firebase Authで本人確認したうえで、本人メールに一致する問い合わせ、指定ブラウザセッションIDに紐づくフィードバック、そこから参照されるマッチ履歴・経歴書・案件情報をJSONでダウンロードできます。	現行デモの経歴書/案件/マッチ結果には恒久的な owner_uid がないため、T752でオンボーディングと所有者カラムを追加するまで公開・有償ローンチ標準機能としては扱わない。	R85;T781;T752	docs/USER_DATA_SELF_EXPORT_RUNBOOK.md;docs/USER_GUIDE_AND_FAQ.md;docs/USER_DATA_DELETION_FLOW.md	T781 2026-06-20; Issue #114	回答済	2026-06-20
QA-60	tech-ai	受信メールを自動でDBへ取り込むために、こちらが提示すべき必要情報は何ですか？	まずメールサービス、対象メールボックス、管理者、対象フォルダ/ラベル、同期頻度、添付ファイル扱い、取り込み後の既読/移動/削除方針、保持期間、監査要件、安全なSecret受け渡し方法を確認します。そのうえでMicrosoft 365/Exchangeならtenant/app/権限、Google Workspace/GmailならOAuth/label/PubSub、IMAPならhost/port/SSL/ユーザー名/アプリパスワード/フォルダ、Webhookなら転送元と署名検証情報を確認します。	パスワード、アプリパスワード、client secret、token、サーバー実値はチャット、Issue、Sheets、docs、NotebookLMへ貼らず、会社指定のSecret管理経路で共有する。受信環境が確定するまでGmail等に決め打ちしない。	R86;T824;T817_7	docs/SALES_EMAIL_AUTO_INGEST_CONNECTION_CHECKLIST.md;docs/SALES_EMAIL_AI_MATCHING_REQUIREMENTS.md	T824 2026-06-20; Issue #115	回答済	2026-06-20
QA-61	operations	Google Sheets/Calendar同期でinvalid_grantやexpired or revokedが出たらどうしますか？	`python scripts/verify_google_workspace_account.py --reauth`を実行し、ブラウザで`k-umezawa@ml-mightylink.com`を選択して再認証します。その後、`python scripts/verify_google_workspace_account.py`でアカウントを確認し、Sheets/Calendar/Drive/NotebookLM docs同期を再実行します。	`authorized_user.json`、`client_secret.json`、OAuth token、refresh tokenはGitHub、Sheets、Issue、NotebookLM、Slack、チャット本文へ記録しない。NotebookLM CLI loginはDrive API OAuth再認証とは別に扱う。	R87;T825;T647	docs/GOOGLE_WORKSPACE_OAUTH_REAUTH_RUNBOOK.md;docs/USER_GUIDE_AND_FAQ.md;docs/SETUP_GUIDE.md	T825 2026-06-21; Issue #116	回答済	2026-06-21
QA-62	operations	NotebookLM source同期は完了したが既存source refreshやAgent Brief/CEO Slide Outlineの生成が長い場合はどうしますか？	まず`python scripts/sync_docs_to_notebooklm.py --skip-asks --skip-source-refresh --source-timeout-seconds 60`でGoogle Docs/Drive/NotebookLM source追加だけを完了させます。T830でDrive側はmanifestの`source_digest`/mtimeで差分同期するようにしたため、未変更docsは再アップロードされません。2026-06-21検証では`--drive-only`が94件中88件skip/6件uploadで32秒、`--skip-asks --skip-source-refresh`が94件skipで17秒完了しました。全件Drive更新が必要な場合のみ`--force-drive-sync`を付けます。	NotebookLMのsource refreshやsummary/askがタイムアウトしても、残留pythonプロセスを確認・停止し、Drive差分同期、NotebookLM source同期、ask生成を切り分ける。通常closeoutでは`--force-drive-sync`を使わず、回答生成が必要な場合だけ`--ask-timeout-seconds 900`で別実行する。	R88;R92;T826;T830	docs/NOTEBOOKLM_SYNC_TIMEOUT_RUNBOOK.md;scripts/sync_docs_to_notebooklm.py;tests/test_sync_docs_to_notebooklm.py;exports/knowledge_flow/notebooklm_docs_manifest.json	T830 2026-06-21; Issue #121	回答済	2026-06-21
QA-63	operations	毎回の公式Docs確認と三ツール運用はどの順で実施しますか？	docs/MULTI_AI_WORKFLOW.mdを正本として、関連docs読了、公式Docs確認、WBSタスク完了、課題/QA反映、Sheets/Calendar同期、public demo guard、GitHub Issue/Project Done、commit/push/main→master反映の順で閉じます。NotebookLM向けdocsを変えた場合はNotebookLM/Deck/Drive同期も実行します。	外部同期やGitHub操作が一時失敗した場合は、失敗理由と再実行コマンドを課題表へ残し、secret実値は記録しない。	R89;T827	docs/MULTI_AI_WORKFLOW.md	Issue #118 2026-06-21	回答済	2026-06-21
QA-64	infra	SupabaseのPostgres 14 EOL確認でDB URLを貼らずに結果を残すにはどうしますか？	`python scripts/check_supabase_postgres_version.py --execute`をローカルで実行し、DB URLは`SUPABASE_STAGING_DB_URL`/`SUPABASE_PROD_DB_URL`にだけ入れます。Dashboard SQL Editorで確認する場合は`select version();`の結果から`PostgreSQL 15.1 ...`のようなsecretを含まない文字列だけを`--offline-version`へ渡します。レポートはredacted URL、Postgresメジャーバージョン、PG14 critical判定、アップグレード前ゲートだけを保存します。	DB URLや接続権限が未共有の場合はT811をneeds_credentials相当として扱い、会社管理経路での共有待ちを課題表へ残す。	R53;R90;T828;T811	docs/SUPABASE_POSTGRES_UPGRADE_RUNBOOK.md;scripts/check_supabase_postgres_version.py	Issue #119 2026-06-21	回答済	2026-06-21
QA-65	billing	Stripe Customer Portalの解約・プラン変更導線は、live keyが無い状態でも安全に検証できますか？	できます。T829で`/billing`と`POST /api/billing/customer-portal/session`を追加し、`dry_run=true`または`STRIPE_CUSTOMER_PORTAL_ENABLED`/`STRIPE_SECRET_KEY`未設定時はStripeへ通信せずpreviewを返します。Customer IDとSubscription IDはpreviewでマスクし、return_urlはhttp/httpsのみ許可します。	live検証はT807で実施する。Stripe Dashboardのtest/live Customer Portal configuration、テスト顧客、Subscription、Webhook eventを確認し、`STRIPE_SECRET_KEY`や実customer/subscription IDはGitHub/Sheets/docs/NotebookLMへ記録しない。	R91;T829;T807	docs/STRIPE_CUSTOMER_PORTAL_RUNBOOK.md;src/stripe_customer_portal.py;tests/test_stripe_customer_portal.py	T829 2026-06-21; Issue #120	回答済	2026-06-21
